"DE_genes","DAS_genes","DE_trans","DTU_trans"
"AT2G32140","AT4G13120","AT4G39670_P1","AT3G25290.2"
"AT2G42950","AT4G14790","AT5G25170_P1","AT3G25840_c3"
"AT3G12740","AT4G15765","AT5G16480_P1","AT3G27000_s2"
"AT1G03495","AT4G16280","AT2G04495_P1","AT3G27190_ID3"
"AT1G26420","AT4G16765","AT1G19020.1","AT3G27190_P1"
"AT4G11370","AT4G16900","AT4G23570_s1","AT3G28100_ID7"
"AT1G30190","AT4G18740","AT5G57220_P1","AT3G29390.1"
"AT1G03730","AT4G19070","AT1G75020_P1","AT3G44150_c1"
"AT4G25900","AT4G19520","AT1G48320.1","AT3G44150.1"
"AT3G19260","AT4G21060","AT4G02380_P1","AT3G44730_P2"
"AT3G26670","AT4G22200","AT4G29440_P1","AT3G47390_s1"
"AT2G44080","AT4G23250","AT4G16950.1","AT3G47390_s3"
"AT4G25030","AT4G23910","AT1G53430_s1","AT3G47500_c2"
"AT3G56410","AT4G24290","AT1G35210_P1","AT3G47940_ID3"
"AT5G03320","AT4G24670","AT4G39030_P1","AT3G47940_P1"
"AT1G67060","AT4G24810","AT1G56510_P1","AT3G50430_ID19"
"AT1G35230","AT4G24970","AT4G23200_P1","AT3G51150_P2"
"AT3G26020","AT4G25080","AT2G18690_P1","AT3G51470_P1"
"AT1G67810","AT4G26140","AT1G02270_P1","AT3G51470_P2"
"AT1G14370","AT4G29730","AT3G47550_P3","AT3G53270_c1"
"AT5G54490","AT4G30850","AT5G25930_P1","AT3G53930_JS1"
"AT2G04495","AT4G31010","AT1G59590_P1","AT3G54270_ID5"
"AT1G61140","AT4G31430","AT2G05940_P1","AT3G54320_P3"
"AT5G04930","AT4G32060","AT2G23320_P1","AT3G54320.1"
"AT4G14370","AT4G32350","AT3G55980_P2","AT3G55080_P1"
"AT5G44070","AT4G33000","AT5G04930_P1","AT3G55600_P1"
"AT5G59450","AT4G33100","AT5G25250_P1","AT3G55600_P2"
"AT5G22250","AT4G33470","AT1G56250_P1","AT3G59780_JC6"
"AT2G23320","AT4G34310","AT3G57550_P1","AT3G60330_P3"
"AT2G31865","AT4G34540","AT1G69840_P3","AT3G60330.2"
"AT5G50140","AT4G36940","AT1G14480_P1","AT3G63400.1"
"AT5G25930","AT4G38160","AT4G21400_P1","AT4G01500_ID1"
"AT3G60420","AT4G38240","AT4G19520_P2","AT4G01500_P1"
"AT5G26751","AT4G38545","AT1G03495_P1","AT4G02550_P5"
"AT1G21130","AT4G39270","AT2G30440_P1","AT4G03480_P2"
"AT3G44400","AT5G01510","AT4G02550_P2","AT4G05040_P3"
"AT5G53130","AT5G01810","AT1G72900_P1","AT4G08180_JS1"
"AT1G56520","AT5G01990","AT4G04490_P1","AT4G09680_JC6"
"AT1G32530","AT5G02290","AT1G56520_P1","AT4G11470_P2"
"AT1G76600","AT5G03000","AT2G01340.1","AT4G11470_s1"
"AT4G22780","AT5G03320","AT3G21220.1","AT4G12720_P2"
"AT5G48655","AT5G03700","AT3G46090_P1","AT4G12790_P6"
"AT2G16870","AT5G04020","AT3G26500_P1","AT4G13030_JC9"
"AT1G17610","AT5G04550","AT3G58490.1","AT4G13120_JS1"
"AT1G51660","AT5G05570","AT1G77500_P1","AT4G14790_P1"
"AT2G21120","AT5G05630","AT1G23710_P1","AT4G14790_P2"
"AT5G46520","AT5G07890","AT2G46620_P1","AT4G16280_JC3"
"AT3G11840","AT5G12260","AT5G03870_P1","AT4G16280.2"
"AT5G46080","AT5G13480","AT4G39640_P1","AT4G16765_c2"
"AT4G01010","AT5G15440","AT3G10500_P1","AT4G16765_P1"
"AT4G33060","AT5G15790","AT2G44290_P1","AT4G16900_ID3"
"AT1G77890","AT5G16505","AT1G74310_P1","AT4G18740_ID3"
"AT1G56510","AT5G17440","AT4G27280_P1","AT4G19070_P1"
"AT3G60415","AT5G17680","AT1G03730_P1","AT4G19520.1"
"AT5G67340","AT5G18260","AT1G33420.1","AT4G21060.1"
"AT5G46490","AT5G18500","AT5G41750_P1","AT4G21060.2"
"AT4G21390","AT5G18780","AT2G23680_P1","AT4G22200_JS1"
"AT1G24150","AT5G19670","AT4G09680_JC6","AT4G23250_P2"
"AT1G55530","AT5G23450","AT2G41100_s1","AT4G23250.1"
"AT1G48320","AT5G23720","AT3G22890_P1","AT4G23910_ID5"
"AT4G24730","AT5G25560","AT4G30880.1","AT4G24290_P3"
"AT3G44480","AT5G26760","AT3G14050_P1","AT4G26140_P5"
"AT1G42990","AT5G27620","AT5G48380_P1","AT4G27490_P1"
"AT1G10340","AT5G28646","AT1G17500_P1","AT4G29730_JC2"
"AT2G15390","AT5G35170","AT5G66850_P2","AT4G29730_P1"
"AT4G16890","AT5G37020","AT1G17600.1","AT4G29900_c2"
"AT1G66250","AT5G38895","AT2G21120_P1","AT4G30850.2"
"AT4G21903","AT5G44010","AT2G38790.1","AT4G31010_P1"
"AT4G30850","AT5G45500","AT3G26020_P5","AT4G31010_P2"
"AT5G02290","AT5G45720","AT1G78100_P1","AT4G31430_P2"
"AT2G38470","AT5G47380","AT2G47730_P1","AT4G32060_P1"
"AT4G30060","AT5G47430","AT3G11820_ID2","AT4G33100_s1"
"AT5G26170","AT5G48620","AT5G50140.1","AT4G33100_s2"
"AT3G26980","AT5G50550","AT5G26690.1","AT4G33470_ID21"
"AT3G28850","AT5G52100","AT4G25900_P1","AT4G34140_P3"
"AT2G38790","AT5G54440","AT2G46400_P1","AT4G34540_JC2"
"AT5G25050","AT5G56160","AT1G32530_P1","AT4G34540.1"
"AT2G46620","AT5G57565","AT3G19260_P1","AT4G34840_P2"
"AT4G11170","AT5G57780","AT5G59450_P1","AT4G36400_s3"
"AT5G45100","AT5G58340","AT1G66880_P1","AT4G36648_c1"
"AT3G08710","AT5G59670","AT5G39040_P1","AT4G36940_ID2"
"AT3G16720","AT5G60980","AT4G01010_P1","AT4G38160_ID3"
"AT3G19010","AT5G61300","AT5G47220_P1","AT4G38160.3"
"AT5G04720","AT5G63370","AT3G47540_P1","AT4G38545_ID2"
"AT3G50930","AT5G66210","AT1G11905_P1","AT4G39270_P1"
"AT3G59700",,"AT1G64065_P1","AT4G39270_P7"
"AT5G09800",,"AT3G50800_P1","AT5G01510_ID4"
"AT1G73810",,"AT3G56710_P1","AT5G01810_ID2"
"AT1G08930",,"AT1G64280_P1","AT5G01990_ID4"
"AT5G23510",,"AT3G09405_P2","AT5G01990.1"
"AT5G47220",,"AT1G43910_P1","AT5G02290_P1"
"AT1G72940",,"AT1G64710.1","AT5G02290_P2"
"AT5G01950",,"AT4G23570_P1","AT5G03320_JS2"
"AT4G14365",,"AT1G30190_P1","AT5G03320_P1"
"AT1G66090",,"AT4G08555_P1","AT5G03700_c1"
"AT4G23200",,"AT5G22630_P1","AT5G03700_P1"
"AT3G10500",,"AT3G09280_P1","AT5G04550_P1"
"AT1G33420",,"AT1G63720_P1","AT5G04550_P2"
"AT5G39670",,"AT1G55530_P1","AT5G05570_c2"
"AT1G31540",,"AT1G71100_P1","AT5G05630_JS1"
"AT2G39400",,"AT3G10640_ID1","AT5G05630_P1"
"AT4G23310",,"AT4G33060_P1","AT5G07150_P1"
"AT5G16800",,"AT5G22250_P1","AT5G07890_P4"
"AT2G26190",,"AT5G54720_P1","AT5G08440_c3"
"AT1G11905",,"AT1G21520_P1","AT5G15790_P1"
"AT1G51270",,"AT2G23810_P1","AT5G15790_P2"
"AT2G30440",,"AT2G18660_P1","AT5G16505_c1"
"AT1G56060",,"AT2G42950_P1","AT5G16505.2"
"AT1G67520",,"AT1G57560_P1","AT5G17440_JC5"
"AT3G26500",,"AT5G48655_P2","AT5G17680_P2"
"AT3G13080",,"AT5G13680_s2","AT5G17680.1"
"AT5G12930",,"AT1G42990_P1","AT5G18260_ID4"
"AT1G49050",,"AT3G53810_P1","AT5G18260.1"
"AT3G09350",,"AT3G46510_P1","AT5G18500_P2"
"AT5G62620",,"AT4G22690_P1","AT5G19670_P1"
"AT4G04490",,"AT2G36470_P1","AT5G19670_P2"
"AT1G21070",,"AT1G61660_P1","AT5G23450_P1"
"AT4G23150",,"AT2G04450_P1","AT5G23720_P1"
"AT1G51890",,"AT1G49050_P1","AT5G25560_ID7"
"AT3G02770",,"AT1G57630_P1","AT5G26760_P2"
"AT1G27770",,"AT2G19130_P1","AT5G27620_s1"
"AT4G11280",,"AT5G62620_P1","AT5G35170_P1"
"AT3G22890",,"AT1G05675_P1","AT5G35210_s3"
"AT3G52430",,"AT3G55470.1","AT5G36700_P1"
"AT1G77500",,"AT1G63750_P3","AT5G37020_P1"
"AT1G08050",,"AT5G22530_P1","AT5G38895_P1"
"AT1G56140",,"AT3G25070_P1","AT5G38895.3"
"AT2G45920",,"AT1G76600_P1","AT5G41610_P1"
"AT4G03450",,"AT3G09350_P1","AT5G41620_P1"
"AT4G18890",,"AT2G13790_P1","AT5G44010_P4"
"AT1G17600",,"AT3G55960_P1","AT5G45720_P1"
"AT1G53625",,"AT5G22060_P1","AT5G45720_P2"
"AT4G39670",,"AT5G41740_P3","AT5G47380_P3"
"AT4G33050",,"AT4G11280_P1","AT5G47430_P4"
"AT5G48400",,"AT1G21070_P1","AT5G47430_P5"
"AT1G76970",,"AT2G46330_ID1","AT5G48620_P2"
"AT2G32030",,"AT3G16050.1","AT5G48620_P3"
"AT2G37980",,"AT3G44480_s1","AT5G54440_P2"
"AT5G39785",,"AT1G24150_P2","AT5G56160_P1"
"AT1G63720",,"AT5G45100_P1","AT5G57565_P6"
"AT1G61660",,"AT5G26751.1","AT5G58140_P1"
"AT3G57330",,"AT4G29900_c2","AT5G58340_P1"
"AT4G17230",,"AT2G25190_P1","AT5G59670_P2"
"AT5G46410",,"AT3G04220_P3","AT5G60210_JS6"
"AT5G61900",,"AT5G10380.1","AT5G60980_P4"
"AT4G22690",,"AT1G19270_P1","AT5G61300_P2"
"AT3G16030",,"AT4G39030_ID1","AT5G61300_s1"
"AT1G17147",,"AT5G23510.2","AT5G63370_c2"
"AT1G79690",,"AT3G26840_ID6","AT5G63370_c4"
"AT3G21220",,"AT5G61210_P1",
"AT5G63225",,"AT3G50470_P1",
"AT1G65250",,"AT2G31865_P1",
"AT5G20990",,"AT3G13100.1",
"AT5G43910",,"AT1G07135_P1",
"AT2G18680",,"AT2G31020.1",
"AT2G28570",,"AT5G08240_P1",
"AT1G57560",,"AT1G01560.1",
"AT3G50800",,"AT3G44630_P1",
"AT1G19020",,"AT4G19370_ID2",
"AT3G21780",,"AT1G29340_P1",
"AT4G17490",,"AT1G31540_P2",
"AT1G29340",,"AT3G12830_P1",
"AT1G69270",,"AT2G44080_P1",
"AT2G36470",,"AT1G61140_P1",
"AT5G54860",,"AT4G38560_ID2",
"AT3G13100",,"AT5G54860_P1",
"AT2G23680",,"AT1G22400_ID2",
"AT2G19130",,"AT5G59550_P2",
"AT1G02270",,"AT5G43910_P2",
"AT2G25190",,"AT4G11370_P1",
"AT5G14930",,"AT5G13190_P1",
"AT1G28380",,"AT4G25030_P1",
"AT3G55960",,"AT5G37420.1",
"AT3G02610",,"AT3G46600_P1",
"AT5G41740",,"AT1G21370_P1",
"AT1G63350",,"AT1G73130.1",
"AT1G63830",,"AT3G26980_P1",
"AT3G02840",,"AT3G23280_P2",
"AT5G04410",,"AT4G12710_P1",
"AT1G64280",,"AT3G22160_P1",
"AT4G08500",,"AT3G26830_P1",
"AT5G61210",,"AT3G04580_P1",
"AT4G00700",,"AT1G63830_ID4",
"AT4G34150",,"AT5G53130_ID3",
"AT1G03740",,"AT1G33720_JC13",
"AT3G20410",,"AT5G43910_ID1",
"AT3G16050",,"AT1G69270_P1",
"AT3G51920",,"AT5G02490_P1",
"AT1G61260",,"AT4G16950_ID3",
"AT1G21110",,"AT4G19925_P1",
"AT1G61560",,"AT2G28080_P1",
"AT2G30750",,"AT3G28850_P1",
"AT5G59550",,"AT2G21790_P1",
"AT1G50740",,"AT5G42380_P1",
"AT3G21080",,"AT2G47130_P1",
"AT4G01750",,"AT5G09800_P1",
"AT1G30270",,"AT4G33050_P4",
"AT3G04580",,"AT2G17440.1",
"AT5G48380",,"AT4G05030_P1",
"AT2G04430",,"AT5G60350.1",
"AT3G21700",,"AT5G44585_P1",
"AT4G12720",,"AT1G27770_P1",
"AT2G20142",,"AT4G17500_P1",
"AT4G17500",,"AT1G09932_P1",
"AT1G33590",,"AT2G44070_P1",
"AT2G31020",,"AT5G66910_P1",
"AT3G10820",,"AT2G41100_P3",
"AT3G10540",,"AT1G03740_P1",
"AT1G67800",,"AT4G35310_s2",
"AT2G41160",,"AT4G18890_P1",
"AT3G07390",,"AT1G13340_P1",
"AT1G73130",,"AT1G74360_P1",
"AT4G12710",,"AT4G02410_P1",
"AT1G30620",,"AT1G65250_P1",
"AT2G27580",,"AT4G27300.1",
"AT5G47960",,"AT5G46520_P2",
"AT5G22060",,"AT1G01680_P1",
"AT4G23270",,"AT1G32127_P1",
"AT3G46600",,"AT1G61260_P1",
"AT3G10640",,"AT5G47070_P1",
"AT1G13180",,"AT5G67340_P1",
"AT1G15890",,"AT3G02610.1",
"AT3G55980",,"AT5G04550_P2",
"AT2G36670",,"AT3G59660_P1",
"AT5G51630",,"AT4G02550_P1",
"AT3G47820",,"AT3G60420_s1",
"AT3G15770",,"AT1G78200_P3",
"AT4G02410",,"AT5G18490_P1",
"AT2G25297",,"AT1G14200.1",
"AT3G14050",,"AT1G35230_P1",
"AT1G71100",,"AT3G55470_P2",
"AT4G27300",,"AT3G15770_P1",
"AT1G78100",,"AT1G33590_P2",
"AT5G22540",,"AT1G26420_P1",
"AT1G17500",,"AT4G21400_c1",
"AT3G18690",,"AT1G13180_P1",
"AT3G09032",,"AT4G23270.1",
"AT2G29400",,"AT1G33720_P4",
"AT1G69520",,"AT4G39640_P2",
"AT2G11520",,"AT4G31980_P1",
"AT4G31980",,"AT1G16670_P1",
"AT5G42380",,"AT3G59700.1",
"AT1G21520",,"AT1G02920_P1",
"AT3G44670",,"AT2G32030_P1",
"AT4G20780",,"AT5G04410_P1",
"AT2G17440",,"AT3G10540.1",
"AT4G35310",,"AT2G38290_P1",
"AT4G05030",,"AT3G44480_P3",
"AT2G47130",,"AT1G03370_P1",
"AT1G15520",,"AT3G61190_P2",
"AT1G67920",,"AT1G69840_P4",
"AT3G53270",,"AT3G12360_P1",
"AT3G60470",,"AT4G25940_P1",
"AT1G78200",,"AT1G18890_P1",
"AT3G22160",,"AT4G17490_P1",
"AT1G16090",,"AT3G47480_P1",
"AT3G17410",,"AT4G04540_JS1",
"AT3G12830",,"AT1G53390_P1",
"AT2G21520",,"AT1G67060_P1",
"AT5G08660",,"AT2G29400_P1",
"AT1G03370",,"AT1G01340_P2",
"AT3G15760",,"AT1G76040_P2",
"AT1G21100",,"AT4G14370_P2",
"AT3G26470",,"AT3G46620_P1",
"AT3G09280",,"AT2G28210_P2",
"AT1G21370",,"AT5G63225_P1",
"AT1G19270",,"AT1G33950_ID2",
"AT1G27130",,"AT3G18690_P1",
"AT1G33730",,"AT1G65870_P1",
"AT4G14220",,"AT3G44720_P1",
"AT1G77810",,"AT5G22540_P1",
"AT1G30757",,"AT2G21520_P2",
"AT3G17420",,"AT5G47960_P1",
"AT1G14200",,"AT5G39785_P1",
"AT5G18490",,"AT1G69520.1",
"AT1G24530",,"AT1G56060.1",
"AT5G47420",,"AT3G09032_P1",
"AT1G73020",,"AT3G21780_P1",
"AT3G08970",,"AT1G61360_s1",
"AT1G64710",,"AT5G15790_P1",
"AT3G53668",,"AT2G37940_P2",
"AT3G09405",,"AT1G32920_P1",
"AT1G61370",,"AT3G48090.2",
"AT5G01550",,"AT3G50460_P1",
"AT5G61910",,"AT5G64810_c1",
"AT1G10050",,"AT1G27130_P1",
"AT4G37370",,"AT4G13510_P1",
"AT2G28080",,"AT4G23190_P1",
"AT4G33300",,"AT2G44490_P1",
"AT3G46510",,"AT3G57450_P1",
"AT3G29000",,"AT2G40095_P2",
"AT2G44490",,"AT5G64810_P1",
"AT1G05575",,"AT1G27730_P1",
"AT4G10970",,"AT4G16880_P1",
"AT1G33720",,"AT5G07165_P1",
"AT3G24500",,"AT4G23210_P5",
"AT2G20150",,"AT4G14220_P1",
"AT3G52400",,"AT4G23210_P3",
"AT4G22710",,"AT1G17147_P1",
"AT2G44180",,"AT4G30060_P1",
"AT4G39030",,"AT2G43680_P1",
"AT5G66650",,"AT1G67050_c1",
"AT1G02170",,"AT4G30210_P3",
"AT3G28450",,"AT1G30040_P1",
"AT4G28480",,"AT1G24530_P1",
"AT5G08240",,"AT3G10525_P1",
"AT5G60280",,"AT3G23240_P1",
"AT5G48570",,"AT2G21470_P1",
"AT5G39040",,"AT3G21700_P3",
"AT4G23030",,"AT1G71170_P1",
"AT3G47540",,"AT3G09010_P1",
"AT4G31510",,"AT4G23310_P2",
"AT5G41610",,"AT5G61010_P1",
"AT2G47140",,"AT2G11520_P1",
"AT4G01370",,"AT5G01540.1",
"AT4G27290",,"AT3G17420_P1",
"AT3G50470",,"AT1G53620_P1",
"AT4G16960",,"AT5G52810_P1",
