Line;Fresh_weight;Batch;Ratio;Line_mean;Treatment;Fresh_weight_mean;Fresh_weight_sd;Fresh_weight_se;Fresh_weight_ratio_mean;Fresh_weight_ratio_sd;Fresh_weight_ratio_se
SETI_wt;0,0984;batch4;1,130857232;;;;;;;;
SETI_wt;0,1046;batch4;1,202110432;;;;;;;;
SETI_wt;0,0897;batch4;1,030872904;;;;;;;;
SETI_eds1-E2;0,0941;batch4;1,047566036;;;;;;;;
SETI_eds1-E2;0,1043;batch4;1,161117296;;;;;;;;
SETI_eds1-E2;0,088;batch4;0,979657929;;;;;;;;
SETI_eds1-E2;0,0712;batch4;0,792632325;;;;;;;;
SETI_eds1-E2;0,0475;batch4;0,528792632;;;;;;;;
SETI_eds1-E2;0,0898;batch4;0,999696387;;;;;;;;
SETI_eds1-E2;0,0842;batch4;0,937354519;;;;;;;;
SETI_eds1-E2;0,0733;batch4;0,816010525;;;;;;;;
SETI_eds1-E2;0,0768;batch4;0,854974193;;;;;;;;
SETI_eds1;0,0886;batch4;0,986337415;;;;;;;;
SETI_eds1;0,1038;batch4;1,155551058;;;;;;;;
SETI_eds1;0,0818;batch4;0,910636575;;;;;;;;
SETI_eds1;0,0623;batch4;0,693553284;;;;;;;;
SETI_eds1;0,1186;batch4;1,320311709;;;;;;;;
SETI_eds1;0,0913;batch4;1,016395102;;;;;;;;
SETI_adrs-E2;0,0137;batch4;0,150839527;;;;;;;;
SETI_adrs-E2;0,0155;batch4;0,170657859;;;;;;;;
SETI_adrs-E2;0,0178;batch4;0,195981283;;;;;;;;
SETI_adrs-E2;0,0158;batch4;0,173960914;;;;;;;;
SETI_adrs-E2;0,0147;batch4;0,161849711;;;;;;;;
SETI_adrs-E2;0,0216;batch4;0,237819983;;;;;;;;
SETI_adrs-E2;0,0135;batch4;0,14863749;;;;;;;;
SETI_adrs-E2;0,0232;batch4;0,255436279;;;;;;;;
SETI_adrs;0,1001;batch4;1,102119461;;;;;;;;
SETI_adrs;0,1001;batch4;1,102119461;;;;;;;;
SETI_adrs;0,0845;batch4;0,930360584;;;;;;;;
SETI_adrs;0,0919;batch4;1,011835948;;;;;;;;
SETI_adrs;0,0814;batch4;0,896229012;;;;;;;;
SETI_adrs;0,1278;batch4;1,407101569;;;;;;;;
SETI_helperless-E2;0,0948;batch4;1,118848106;;;;;;;;
SETI_helperless-E2;0,0782;batch4;0,922931665;;;;;;;;
SETI_helperless-E2;0,0822;batch4;0,970140446;;;;;;;;
SETI_helperless-E2;0,0682;batch4;0,804909713;;;;;;;;
SETI_helperless-E2;0,1137;batch4;1,341909595;;;;;;;;
SETI_helperless-E2;0,0828;batch4;0,977221763;;;;;;;;
SETI_helperless-E2;0,0596;batch4;0,703410834;;;;;;;;
SETI_helperless;0,0924;batch4;1,090522837;;;;;;;;
SETI_helperless;0,0894;batch4;1,055116252;;;;;;;;
SETI_helperless;0,0845;batch4;0,997285495;;;;;;;;
SETI_helperless;0,0919;batch4;1,08462174;;;;;;;;
SETI_helperless;0,0814;batch4;0,96069869;;;;;;;;
SETI_helperless;0,1278;batch4;1,508320548;;;;;;;;
SETI_nrgs-E2;0,0052;batch4;0,056084846;;;;;;;;
SETI_nrgs-E2;0,0055;batch4;0,059320511;;;;;;;;
SETI_nrgs-E2;0,0048;batch4;0,051770627;;;;;;;;
SETI_nrgs-E2;0,0033;batch4;0,035592306;;;;;;;;
SETI_nrgs-E2;0,0056;batch4;0,060399065;;;;;;;;
SETI_nrgs-E2;0,0039;batch4;0,042063635;;;;;;;;
SETI_nrgs-E2;0,0055;batch4;0,059320511;;;;;;;;
SETI_nrgs-E2;0,0038;batch4;0,04098508;;;;;;;;
SETI_nrgs;0,0863;batch4;0,930792738;;;;;;;;
SETI_nrgs;0,0952;batch4;1,026784109;;;;;;;;
SETI_nrgs;0,0873;batch4;0,941578285;;;;;;;;
SETI_nrgs;0,0862;batch4;0,929714183;;;;;;;;
SETI_nrgs;0,101;batch4;1,089340284;;;;;;;;
SETI_nrgs;0,1105;batch4;1,191802984;;;;;;;;
Col-0-E2;0,0932;batch4;0,961526888;;;;;;;;
Col-0-E2;0,0924;batch4;0,953273439;;;;;;;;
Col-0-E2;0,072;batch4;0,742810472;;;;;;;;
Col-0-E2;0,0816;batch4;0,841851868;;;;;;;;
Col-0-E2;0,1001;batch4;1,032712892;;;;;;;;
Col-0-E2;0,0754;batch4;0,777887633;;;;;;;;
Col-0-E2;0,1036;batch4;1,068821734;;;;;;;;
Col-0-E2;0,0685;batch4;0,706701629;;;;;;;;
Col-0-E2;0,0829;batch4;0,855263724;;;;;;;;
Col-0-E2;0,0822;batch4;0,848041955;;;;;;;;
Col-0;0,0829;batch4;0,855263724;;;;;;;;
Col-0;0,0963;batch4;0,993509006;;;;;;;;
Col-0;0,0852;batch4;0,878992391;;;;;;;;
Col-0;0,0835;batch4;0,861453811;;;;;;;;
Col-0;0,1023;batch4;1,055409878;;;;;;;;
Col-0;0,1194;batch4;1,231827365;;;;;;;;
Col-0;0,0925;batch4;0,95430512;;;;;;;;
Col-0;0,1205;batch4;1,243175859;;;;;;;;
