"";"Genes"
"381";"AT2G43590"
"382";"AT1G08830"
"383";"AT1G52760"
"384";"AT3G29075"
"385";"AT2G23380"
"386";"AT2G43790"
"387";"AT1G22900"
"388";"AT1G18590"
"389";"AT5G33320"
"390";"AT2G36900"
"391";"AT1G04980"
"392";"AT5G28830"
"393";"AT1G36640"
"394";"AT2G40730"
"395";"AT5G50210"
"396";"AT2G15292"
"397";"AT5G63770"
"398";"AT2G21430"
"399";"AT3G12630"
"400";"AT1G74790"
"401";"AT5G49530"
"402";"AT5G57230"
"403";"AT3G62240"
"404";"AT5G02630"
"405";"AT5G46330"
"406";"AT1G04210"
"407";"AT5G28040"
"408";"AT1G08315"
"409";"AT2G04650"
"410";"AT1G10900"
"411";"AT4G30150"
"412";"AT5G03730"
"413";"AT2G20130"
"414";"AT5G11010"
"415";"AT3G16760"
"416";"AT5G22090"
"417";"AT5G51640"
"418";"AT1G67410"
"419";"AT1G63840"
"420";"AT4G39880"
"421";"AT4G12770"
"422";"AT4G17486"
"423";"AT4G08180"
"424";"AT2G40110"
"425";"AT3G56170"
"426";"AT3G51360"
"427";"AT5G52830"
"428";"AT3G07320"
"429";"AT3G29170"
"430";"AT1G66070"
"431";"AT1G09560"
"432";"AT2G23770"
"433";"AT4G23560"
"434";"AT5G13860"
"435";"AT3G49780"
"436";"AT4G17895"
"437";"AT1G70430"
"438";"AT5G64400"
"439";"AT3G13320"
"440";"AT2G20610"
"441";"AT3G26400"
"442";"AT1G07660"
"443";"AT5G54830"
"444";"AT3G51990"
"445";"AT5G12850"
"446";"AT4G16240"
"447";"AT2G46160"
"448";"AT5G46740"
"449";"AT1G50010"
"450";"AT5G35370"
"451";"AT2G22090"
"452";"AT5G42150"
"453";"AT3G59880"
"454";"AT3G43240"
"455";"AT5G35580"
"456";"AT5G34871"
"457";"AT3G19615"
"458";"AT5G63880"
"459";"AT5G49520"
"460";"AT4G15120"
"461";"AT3G09230"
"462";"AT5G04310"
"463";"AT2G38360"
"464";"AT2G34355"
"465";"AT2G32190"
"466";"AT4G25680"
"467";"AT1G73030"
"468";"AT4G23885"
"469";"AT1G13245"
"470";"AT5G17680"
"471";"AT5G05360"
"472";"AT5G12880"
"473";"AT5G44572"
"474";"AT3G28153"
"475";"AT2G36300"
"476";"AT5G45050"
"477";"AT4G19940"
"478";"AT4G08810"
"479";"AT1G11890"
"480";"AT5G64130"
"481";"AT2G28710"
"482";"AT1G65470"
"483";"AT3G48850"
"484";"AT2G06510"
"485";"AT4G33910"
"486";"AT5G07910"
"487";"AT2G42010"
"488";"AT4G01660"
"489";"AT1G60420"
"490";"AT5G45240"
"491";"AT2G41905"
"492";"AT2G25470"
"493";"AT3G27290"
"494";"AT5G04540"
"495";"AT3G63260"
"496";"AT5G48930"
"497";"AT2G40330"
"498";"AT4G00820"
"499";"AT5G13420"
"500";"AT5G65130"
"501";"AT3G21240"
"502";"AT3G02230"
"503";"AT1G20980"
"504";"AT1G23900"
"505";"AT1G09645"
"506";"AT2G41440"
"507";"AT4G12350"
"508";"AT3G22370"
"509";"AT1G69250"
"510";"AT5G43070"
"511";"AT1G48040"
"512";"AT3G48570"
"513";"AT1G15190"
"514";"AT3G60860"
"515";"AT1G51840"
"516";"AT5G65270"
"517";"AT5G43403"
"518";"AT5G48390"
"519";"AT3G04930"
"520";"AT3G50080"
"521";"AT1G21380"
"522";"AT2G21500"
"523";"AT1G49040"
"524";"AT1G79985"
"525";"AT1G12970"
"526";"AT1G58410"
"527";"AT2G42060"
"528";"AT1G65500"
"529";"AT4G28420"
"530";"AT3G03000"
"531";"AT1G09430"
"532";"AT5G60700"
"533";"AT5G15130"
"534";"AT3G60330"
"535";"AT5G62480"
"536";"AT5G64813"
"537";"AT1G19230"
"538";"AT2G29065"
"539";"AT3G60200"
"540";"AT4G25845"
"541";"AT2G36325"
"542";"AT4G12470"
"543";"AT5G24240"
"544";"AT5G15120"
"545";"AT5G18070"
"546";"AT4G15270"
"547";"AT4G36640"
"548";"AT5G18750"
"549";"AT1G50750"
"550";"AT1G13530"
"551";"AT5G36907"
"552";"AT2G36770"
"553";"AT2G35000"
"554";"AT1G12460"
"555";"AT5G20480"
"556";"AT3G54130"
"557";"AT4G18540"
"558";"AT4G37030"
"559";"AT3G61640"
"560";"AT4G36430"
"561";"AT1G59610"
"562";"AT3G45290"
"563";"AT1G77390"
"564";"AT2G30050"
"565";"AT1G07240"
"566";"AT1G70590"
"567";"AT3G21480"
"568";"AT5G49910"
"569";"AT2G37110"
"570";"AT4G14590"
"571";"AT5G19070"
"572";"AT4G24190"
"573";"AT2G03410"
"574";"AT3G01540"
"575";"AT1G25682"
"576";"AT4G02195"
"577";"AT1G06800"
"578";"AT4G36410"
"579";"AT5G44575"
"580";"AT2G17900"
"581";"AT5G27765"
"582";"AT4G25835"
"583";"AT5G63130"
"584";"AT1G49030"
"585";"AT1G30810"
"586";"AT3G16785"
"587";"AT3G24350"
"588";"AT5G13340"
"589";"AT2G40090"
"590";"AT5G20150"
"591";"AT5G53550"
"592";"AT3G25130"
"593";"AT1G16150"
"594";"AT1G72070"
"595";"AT4G36670"
"596";"AT2G01379"
"597";"AT2G17570"
"598";"AT3G16310"
"599";"AT3G23160"
"600";"AT4G15400"
"601";"AT2G17420"
"602";"AT3G17609"
"603";"AT4G22320"
"604";"AT1G49032"
"605";"AT3G59900"
"606";"AT5G63320"
"607";"AT2G24640"
"608";"AT2G17980"
"609";"AT5G65320"
"610";"AT5G65240"
"611";"AT1G15350"
"612";"AT4G26750"
"613";"AT1G47750"
"614";"AT4G15140"
"615";"AT1G05000"
"616";"AT1G76900"
"617";"AT4G13660"
"618";"AT5G08139"
"619";"AT2G27389"
"620";"AT4G33020"
"621";"AT1G02440"
"622";"AT3G13790"
"623";"AT2G26660"
"624";"AT3G04420"
"625";"AT5G37490"
"626";"AT4G11070"
"627";"AT1G65980"
"628";"AT4G20860"
"629";"AT3G15530"
"630";"AT5G56350"
"631";"AT4G17615"
"632";"AT1G69750"
"633";"AT4G32030"
"634";"AT2G15490"
"635";"AT2G30395"
"636";"AT1G28240"
"637";"AT5G01732"
"638";"AT5G38690"
"639";"AT4G35080"
"640";"AT2G47420"
"641";"AT4G00720"
"642";"AT1G76390"
"643";"AT1G11540"
"644";"AT2G42650"
"645";"AT1G54000"
"646";"AT4G20730"
"647";"AT2G02180"
"648";"AT2G32960"
"649";"AT4G02330"
"650";"AT5G25010"
"651";"AT2G21060"
"652";"AT4G25090"
"653";"AT5G20910"
"654";"AT3G02040"
"655";"AT5G22300"
"656";"AT3G49845"
"657";"AT4G32300"
"658";"AT1G68765"
"659";"AT5G13890"
"660";"AT2G46490"
"661";"AT1G22420"
"662";"AT4G19180"
"663";"AT3G03855"
"664";"AT3G27490"
"665";"AT4G38830"
"666";"AT1G80960"
"667";"AT5G63550"
"668";"AT3G62280"
"669";"AT3G48195"
"670";"AT1G36600"
"671";"AT2G35965"
"672";"AT4G03480"
"673";"AT3G03670"
"674";"AT3G16870"
"675";"AT1G80020"
"676";"AT3G47420"
"677";"AT3G02240"
"678";"AT1G51920"
"679";"AT2G30780"
"680";"AT3G54650"
"681";"AT2G04040"
"682";"AT1G64300"
"683";"AT4G34210"
"684";"AT1G72750"
"685";"AT3G57090"
"686";"AT1G57943"
"687";"AT1G74010"
"688";"AT1G19240"
"689";"AT2G30470"
"690";"AT3G47700"
"691";"AT3G63440"
"692";"AT1G05340"
"693";"AT4G27940"
"694";"AT1G66500"
"695";"AT1G69030"
"696";"AT1G27720"
"697";"AT2G21840"
"698";"AT5G17990"
"699";"AT2G29950"
"700";"AT3G10310"
"701";"AT4G21380"
"702";"AT1G01480"
"703";"AT5G52020"
"704";"AT4G13330"
"705";"AT3G27520"
"706";"AT5G39380"
"707";"AT1G27470"
"708";"AT1G32049"
"709";"AT1G12000"
"710";"AT3G10380"
"711";"AT3G17710"
"712";"AT5G54160"
"713";"AT3G09960"
"714";"AT3G13784"
"715";"AT2G35390"
"716";"AT3G53670"
"717";"AT3G04320"
"718";"AT2G03040"
"719";"AT3G14225"
"720";"AT5G22450"
"721";"AT1G23149"
"722";"AT5G61890"
"723";"AT3G19360"
"724";"AT3G62830"
"725";"AT2G23300"
"726";"AT1G30780"
"727";"AT5G07100"
"728";"AT3G61198"
"729";"AT1G32170"
"730";"AT5G48240"
"731";"AT5G02400"
"732";"AT2G38250"
"733";"AT2G34250"
"734";"AT1G77250"
"735";"AT3G61390"
"736";"AT4G34120"
"737";"AT1G07890"
"738";"AT5G03000"
"739";"AT1G79450"
"740";"AT3G61450"
"741";"AT1G30740"
"742";"AT1G20740"
"743";"AT5G37485"
"744";"AT5G11730"
"745";"AT2G26390"
"746";"AT2G31730"
"747";"AT4G35480"
"748";"AT5G01120"
"749";"AT3G53490"
"750";"AT1G62840"
"751";"AT3G61580"
"752";"AT1G68150"
"753";"AT3G04350"
"754";"AT1G14780"
"755";"AT3G43210"
"756";"AT5G23450"
"757";"AT5G12400"
"758";"AT1G29150"
"759";"AT3G09570"
"760";"AT1G72250"
"761";"AT5G52670"
"762";"AT1G29760"
"763";"AT4G34470"
"764";"AT1G76550"
"765";"AT5G20000"
"766";"AT4G21120"
"767";"AT5G14540"
"768";"AT5G36970"
"769";"AT2G03290"
"770";"AT5G65160"
"771";"AT5G22220"
"772";"AT5G50560"
"773";"AT5G06110"
"774";"AT5G01225"
"775";"AT1G09000"
"776";"AT4G30230"
"777";"AT1G06830"
"778";"AT4G27350"
"779";"AT3G07050"
"780";"AT2G33540"
"781";"AT2G33585"
"782";"AT2G41230"
"783";"AT2G30640"
"784";"AT2G29740"
"785";"AT4G23810"
"786";"AT2G15780"
"787";"AT3G16830"
"788";"AT5G24090"
"789";"AT2G01660"
"790";"AT3G47000"
"791";"AT3G05830"
"792";"AT5G06740"
"793";"AT1G22960"
"794";"AT1G53980"
"795";"AT4G01710"
"796";"AT1G16300"
"797";"AT4G08390"
"798";"AT5G05350"
"799";"AT4G09420"
"800";"AT5G27030"
"801";"AT1G70581"
"802";"AT3G29310"
"803";"AT5G02430"
"804";"AT2G25215"
"805";"AT3G26090"
"806";"AT1G66160"
"807";"AT5G12390"
"808";"AT5G13485"
"809";"AT5G01500"
"810";"AT2G31345"
"811";"AT4G26010"
"812";"AT5G01050"
"813";"AT1G23140"
"814";"AT1G65970"
"815";"AT3G13500"
"816";"AT3G06420"
"817";"AT3G16340"
"818";"AT3G03680"
"819";"AT4G13370"
"820";"AT2G24990"
"821";"AT4G00840"
"822";"AT2G18350"
"823";"AT4G22520"
"824";"AT1G36620"
"825";"AT1G73965"
"826";"AT2G41380"
"827";"AT1G71400"
"828";"AT4G25520"
"829";"AT1G18480"
"830";"AT4G25340"
"831";"AT3G08640"
"832";"AT3G53650"
"833";"AT2G15310"
"834";"AT4G17950"
"835";"AT1G63530"
"836";"AT4G37910"
"837";"AT2G44500"
"838";"AT5G54280"
"839";"AT1G69930"
"840";"AT4G09150"
"841";"AT1G29630"
"842";"AT2G30400"
"843";"AT3G11950"
"844";"AT2G22890"
"845";"AT1G02940"
"846";"AT2G02930"
"847";"AT1G77840"
"848";"AT5G13080"
"849";"AT1G36610"
"850";"AT3G57390"
"851";"AT4G22467"
"852";"AT1G19380"
"853";"AT3G10300"
"854";"AT2G04400"
"855";"AT5G47480"
"856";"AT1G51913"
"857";"AT1G73530"
"858";"AT4G22680"
"859";"AT1G47560"
"860";"AT3G54960"
"861";"AT5G48600"
"862";"AT4G12480"
"863";"AT4G20300"
"864";"AT4G38540"
"865";"AT3G11130"
"866";"AT5G01490"
"867";"AT3G16860"
"868";"AT4G01360"
"869";"AT4G28390"
"870";"AT3G13438"
"871";"AT3G13600"
"872";"AT1G65481"
"873";"AT3G27270"
"874";"AT4G21920"
"875";"AT5G33290"
"876";"AT4G31950"
"877";"AT2G46765"
"878";"AT1G63245"
"879";"AT5G17125"
"880";"AT1G75860"
"881";"AT1G04780"
"882";"AT4G35500"
"883";"AT2G35420"
"884";"AT4G01920"
"885";"AT1G64405"
"886";"AT4G25610"
"887";"AT1G15625"
"888";"AT2G37720"
"889";"AT4G20110"
"890";"AT2G37890"
"891";"AT1G07128"
"892";"AT2G28760"
"893";"AT2G31335"
