Sample;ion leakage;Batch
SETIpad4sag101(E)_4h_1;13;A1
SETIpad4sag101(E)_4h_2;13;A1
SETIpad4sag101(E)_4h_3;12;A1
SETIpad4sag101(E)_4h_4;12;A1
SETIpad4sag101(E)_4h_5;15;A1
SETIpad4sag101(E)_4h_6;13;A1
SETIpad4sag101(E)_6h_1;14;A1
SETIpad4sag101(E)_6h_2;14;A1
SETIpad4sag101(E)_6h_3;14;A1
SETIpad4sag101(E)_6h_4;13;A1
SETIpad4sag101(E)_6h_5;16;A1
SETIpad4sag101(E)_6h_6;14;A1
SETIpad4sag101(E)_8h_1;15;A1
SETIpad4sag101(E)_8h_2;14;A1
SETIpad4sag101(E)_8h_3;15;A1
SETIpad4sag101(E)_8h_4;14;A1
SETIpad4sag101(E)_8h_5;17;A1
SETIpad4sag101(E)_8h_6;15;A1
SETIpad4sag101(E)_22h_1;15;A1
SETIpad4sag101(E)_22h_2;15;A1
SETIpad4sag101(E)_22h_3;15;A1
SETIpad4sag101(E)_22h_4;14;A1
SETIpad4sag101(E)_22h_5;17;A1
SETIpad4sag101(E)_22h_6;16;A1
SETIpad4sag101(E)_24h_1;15;A1
SETIpad4sag101(E)_24h_2;15;A1
SETIpad4sag101(E)_24h_3;15;A1
SETIpad4sag101(E)_24h_4;14;A1
SETIpad4sag101(E)_24h_5;17;A1
SETIpad4sag101(E)_24h_6;16;A1
SETIsag101(m)_0h_1;10;A1
SETIsag101(m)_0h_2;9;A1
SETIsag101(m)_0h_3;9;A1
SETIsag101(m)_0h_4;10;A1
SETIsag101(m)_0h_5;8;A1
SETIsag101(m)_0h_6;11;A1
SETIsag101(m)_2h_1;12;A1
SETIsag101(m)_2h_2;11;A1
SETIsag101(m)_2h_3;11;A1
SETIsag101(m)_2h_4;11;A1
SETIsag101(m)_2h_5;10;A1
SETIsag101(m)_2h_6;12;A1
SETIsag101(m)_4h_1;12;A1
SETIsag101(m)_4h_2;12;A1
SETIsag101(m)_4h_3;12;A1
SETIsag101(m)_4h_4;12;A1
SETIsag101(m)_4h_5;11;A1
SETIsag101(m)_4h_6;13;A1
SETIsag101(m)_6h_1;13;A1
SETIsag101(m)_6h_2;13;A1
SETIsag101(m)_6h_3;13;A1
SETIsag101(m)_6h_4;14;A1
SETIsag101(m)_6h_5;12;A1
SETIsag101(m)_6h_6;14;A1
SETIsag101(m)_8h_1;14;A1
SETIsag101(m)_8h_2;13;A1
SETIsag101(m)_8h_3;14;A1
SETIsag101(m)_8h_4;14;A1
SETIsag101(m)_8h_5;12;A1
SETIsag101(m)_8h_6;14;A1
SETIsag101(m)_22h_1;15;A1
SETIsag101(m)_22h_2;14;A1
SETIsag101(m)_22h_3;15;A1
SETIsag101(m)_22h_4;14;A1
SETIsag101(m)_22h_5;12;A1
SETIsag101(m)_22h_6;14;A1
SETIsag101(m)_24h_1;15;A1
SETIsag101(m)_24h_2;14;A1
SETIsag101(m)_24h_3;15;A1
SETIsag101(m)_24h_4;14;A1
SETIsag101(m)_24h_5;12;A1
SETIsag101(m)_24h_6;14;A1
SETIsag101(E)_0h_1;10;A1
SETIsag101(E)_0h_2;10;A1
SETIsag101(E)_0h_3;9;A1
SETIsag101(E)_0h_4;10;A1
