"";"Genes"
"615";"AT4G23610"
"616";"AT3G28340"
"617";"AT1G66460"
"618";"AT5G48150"
"619";"AT5G48657"
"620";"AT3G63240"
"621";"AT4G23260"
"622";"AT1G53620"
"623";"AT5G47850"
"624";"AT3G66654"
"625";"AT5G60350"
"626";"AT1G48640"
"627";"AT5G03160"
"628";"AT3G26680"
"629";"AT1G61640"
"630";"AT1G19770"
"631";"AT3G55270"
"632";"AT5G45250"
"633";"AT2G36580"
"634";"AT1G49000"
"635";"AT1G73805"
"636";"AT2G19710"
"637";"AT4G13510"
"638";"AT5G64870"
"639";"AT2G46500"
"640";"AT2G02810"
"641";"AT3G60540"
"642";"AT4G33940"
"643";"AT2G41430"
"644";"AT1G21240"
"645";"AT3G22600"
"646";"AT4G23215"
"647";"AT5G54850"
"648";"AT2G18690"
"649";"AT4G05320"
"650";"AT5G65200"
"651";"AT1G64400"
"652";"AT1G74100"
"653";"AT2G23810"
"654";"AT4G17670"
"655";"AT4G23700"
"656";"AT1G01550"
"657";"AT2G13650"
"658";"AT5G56010"
"659";"AT5G59820"
"660";"AT1G51620"
"661";"AT4G39230"
"662";"AT1G18900"
"663";"AT1G16130"
"664";"AT1G11200"
"665";"AT2G41640"
"666";"AT1G09630"
"667";"AT5G57123"
"668";"AT1G27350"
"669";"AT1G07400"
"670";"AT3G48640"
"671";"AT5G46500"
"672";"AT5G52640"
"673";"AT2G02370"
"674";"AT4G12400"
"675";"AT1G07000"
"676";"AT1G05350"
"677";"AT5G05730"
"678";"AT1G79670"
"679";"AT5G38210"
"680";"AT1G59910"
"681";"AT1G73080"
"682";"AT3G06300"
"683";"AT5G05190"
"684";"AT5G64510"
"685";"AT2G20780"
"686";"AT2G35980"
"687";"AT1G10280"
"688";"AT5G15730"
"689";"AT1G22650"
"690";"AT1G22070"
"691";"AT3G57640"
"692";"AT4G32440"
"693";"AT3G62200"
"694";"AT5G36260"
"695";"AT2G20110"
"696";"AT2G45010"
"697";"AT1G01680"
"698";"AT4G34380"
"699";"AT5G37420"
"700";"AT1G29290"
"701";"AT3G02550"
"702";"AT5G38350"
"703";"AT3G24090"
"704";"AT3G13380"
"705";"AT2G24240"
"706";"AT1G28370"
"707";"AT3G52520"
"708";"AT3G60260"
"709";"AT3G47480"
"710";"AT3G21520"
"711";"AT3G12350"
"712";"AT1G80820"
"713";"AT5G57035"
"714";"AT2G04515"
"715";"AT1G51700"
"716";"AT4G31550"
"717";"AT2G32800"
"718";"AT4G25720"
"719";"AT5G66320"
"720";"AT1G27730"
"721";"AT2G47060"
"722";"AT5G47730"
"723";"AT2G19190"
"724";"AT2G31990"
"725";"AT5G52750"
"726";"AT5G54650"
"727";"AT1G62300"
"728";"AT5G03330"
"729";"AT3G01290"
"730";"AT5G41170"
"731";"AT1G61250"
"732";"AT1G57630"
"733";"AT2G46400"
"734";"AT4G14450"
"735";"AT5G14700"
"736";"AT5G03210"
"737";"AT2G32250"
"738";"AT3G63310"
"739";"AT1G17290"
"740";"AT1G78895"
"741";"AT2G40270"
"742";"AT3G57100"
"743";"AT3G22942"
"744";"AT3G06890"
"745";"AT4G38550"
"746";"AT1G72520"
"747";"AT1G14360"
"748";"AT3G63420"
"749";"AT3G58600"
"750";"AT5G66600"
"751";"AT3G11650"
"752";"AT3G45040"
"753";"AT3G52480"
"754";"AT4G08780"
"755";"AT5G45000"
"756";"AT3G03610"
"757";"AT5G26030"
"758";"AT5G56960"
"759";"AT3G57730"
"760";"AT5G08790"
"761";"AT3G07090"
"762";"AT4G18195"
"763";"AT5G20610"
"764";"AT4G26140"
"765";"AT3G24530"
"766";"AT4G03550"
"767";"AT1G19310"
"768";"AT1G58848"
"769";"AT3G44720"
"770";"AT3G26910"
"771";"AT2G26530"
"772";"AT5G66070"
"773";"AT5G24810"
"774";"AT4G29950"
"775";"AT3G21305"
"776";"AT1G12360"
"777";"AT1G08860"
"778";"AT4G35600"
"779";"AT2G28890"
"780";"AT4G39910"
"781";"AT4G33920"
"782";"AT5G35200"
"783";"AT4G37900"
"784";"AT1G20310"
"785";"AT5G61560"
"786";"AT5G46910"
"787";"AT4G11521"
"788";"AT4G21534"
"789";"AT5G27760"
"790";"AT1G68200"
"791";"AT1G20510"
"792";"AT4G37020"
"793";"AT3G12050"
"794";"AT1G80840"
"795";"AT3G21560"
"796";"AT5G38250"
"797";"AT4G29740"
"798";"AT2G47490"
"799";"AT1G03940"
"800";"AT4G17240"
"801";"AT2G29990"
"802";"AT4G12040"
"803";"AT1G51680"
"804";"AT2G31090"
"805";"AT4G25390"
"806";"AT5G46295"
"807";"AT1G54090"
"808";"AT3G28930"
"809";"AT1G07350"
"810";"AT4G23280"
"811";"AT4G36988"
"812";"AT5G67450"
"813";"AT3G49370"
"814";"AT5G60930"
"815";"AT1G65483"
"816";"AT5G24590"
"817";"AT1G43000"
"818";"AT2G16900"
"819";"AT4G26990"
"820";"AT1G34300"
"821";"AT5G64660"
